ID,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,CreatedDate,UpdatedDate
1,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244.0,1-877-267-2323,18-11-2024 17:32,18-11-2024 17:32
2,Medicare,7500 Security Blvd,Baltimore,MD,21244.0,1-800-633-4227,18-11-2024 17:32,18-11-2024 17:32
3,Medicaid,7500 Security Blvd,Baltimore,MD,21244.0,1-877-267-2323,18-11-2024 17:32,18-11-2024 17:32
4,Humana,500 West Main St,Louisville,KY,40018.0,1-844-330-7799,18-11-2024 17:32,18-11-2024 17:32
5,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007.0,1-800-262-2583,18-11-2024 17:32,18-11-2024 17:32
6,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436.0,1-888-545-5205,18-11-2024 17:32,18-11-2024 17:32
7,Aetna,151 Farmington Ave,Hartford,CT,6156.0,1-800-872-3862,18-11-2024 17:32,18-11-2024 17:32
8,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002.0,1-800-997-1654,18-11-2024 17:32,18-11-2024 17:32
9,Anthem,220 Virginia Ave,Indianapolis,IN,46204.0,1-800-331-1476,18-11-2024 17:32,18-11-2024 17:32
10,NO_INSURANCE,,,,,,18-11-2024 17:32,18-11-2024 17:32
